url,final_url,status,status_class,redirected,title,reference_count,source_files
https://about.bnef.com/insights/commodities/ai-data-center-build-advances-at-full-speed-five-things-to-know/,https://about.bnef.com/insights/commodities/ai-data-center-build-advances-at-full-speed-five-things-to-know/,200,verified_ok,False,AI Data Center Build Advances at Full Speed: Five Things to Know | BloombergNEF,1,forecaster_capex_comparison.yaml
https://about.fb.com/news/2025/10/meta-blue-owl-capital-develop-hyperion-data-center/,https://about.fb.com/news/2025/10/meta-blue-owl-capital-develop-hyperion-data-center/,200,verified_ok,False,Meta Announces Joint Venture With Funds Managed by Blue Owl Capital to Develop Hyperion Data Center,2,report.tex
https://atb.nrel.gov/electricity/2024/utility-scale_battery_storage,https://atb.nrel.gov/electricity/2024/utility-scale_battery_storage,200,verified_ok,False,Utility-Scale Battery Storage | Electricity | 2024 | ATB | NLR,1,anatomy_layer_costs.yaml
https://blog.google/company-news/inside-google/around-the-globe/google-europe/united-kingdom/waltham-cross-data-centre/,https://blog.google/company-news/inside-google/around-the-globe/google-europe/united-kingdom/waltham-cross-data-centre/,200,verified_ok,False,"Our new Waltham Cross data center is part of our two-year, £5 billion investment to help power the UK’s AI economy.",1,compute_commitments_overlay.yaml
https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,https://blogs.microsoft.com/blog/2025/09/18/inside-the-worlds-most-powerful-ai-datacenter/,200,verified_ok,False,Inside the world’s most powerful AI datacenter - The Official Microsoft Blog,6,anatomy_layer_costs.yaml;canonical_capacity_atoms.yaml;compute_commitments_overlay.yaml;report.tex
https://blogs.microsoft.com/blog/2025/11/18/microsoft-nvidia-and-anthropic-announce-strategic-partnerships/,https://blogs.microsoft.com/blog/2025/11/18/microsoft-nvidia-and-anthropic-announce-strategic-partnerships/,200,verified_ok,False,"Microsoft, NVIDIA and Anthropic announce strategic partnerships - The Official Microsoft Blog",2,canonical_capacity_atoms.yaml;compute_commitments_overlay.yaml
https://cloud.google.com/blog/products/compute,https://cloud.google.com/blog/products/compute,200,verified_ok,False,Compute | Google Cloud Blog,1,report.tex
https://datacenters.atmeta.com/richland-parish-data-center/,https://datacenters.atmeta.com/richland-parish-data-center/,200,verified_ok,False,The largest Meta data center yet brings big impact to Louisiana - Meta Data Centers,1,compute_commitments_overlay.yaml
https://datacentremagazine.com/articles/the-role-of-steel-in-todays-data-centre-industry,https://datacentremagazine.com/articles/the-role-of-steel-in-todays-data-centre-industry,403,blocked_manual_review,False,,1,anatomy_layer_costs.yaml
https://deepfundamental.substack.com/p/deep-dive-liquid-cooling,https://deepfundamental.substack.com/p/deep-dive-liquid-cooling,200,verified_ok,False,Deep Dive: Liquid Cooling - by Patrick Zhou,1,anatomy_layer_costs.yaml
